,pci,Arrest,ID,rate
0,8201,1254.0,5003,0.2506496102338597
1,10402,4974.0,17468,0.2847492557820014
2,10432,1281.0,3606,0.35524126455906824
3,10934,11070.0,22270,0.4970812752581949
4,11317,9609.0,29928,0.32107056936647954
5,11888,8445.0,27728,0.304565781881131
6,12034,12772.0,32536,0.39254979100073767
7,12171,2633.0,9746,0.2701621177919146
8,12515,354.0,1574,0.22490470139771285
9,12765,6737.0,20165,0.33409372675427723
10,12961,8472.0,20596,0.4113420081569237
11,13089,2549.0,10269,0.2482228065050151
12,13231,7877.0,25303,0.31130695964905347
13,13781,14396.0,34412,0.4183424386841799
14,13785,3135.0,10972,0.28572730586948597
15,14685,1940.0,7607,0.255028263441567
16,15089,1707.0,6572,0.25973828362751067
17,15461,4894.0,19211,0.2547498828796002
18,15528,8514.0,29476,0.28884516216582984
19,15754,768.0,4115,0.18663426488456866
20,15957,27484.0,68356,0.40207150798759433
21,16134,787.0,3947,0.1993919432480365
22,16148,1045.0,4519,0.2312458508519584
23,16444,2523.0,10163,0.2482534684640362
24,16563,4925.0,16919,0.2910928541875997
25,16579,5548.0,19838,0.2796652888396008
26,16907,1994.0,7735,0.2577892695539754
27,16954,1038.0,4163,0.24933941868844584
28,17104,1317.0,5218,0.2523955538520506
29,17285,7865.0,26228,0.2998703675461339
30,17949,8459.0,27704,0.30533496967946866
31,18672,5059.0,15991,0.31636545556875745
32,18881,6859.0,23414,0.29294439224395663
33,19252,1550.0,6686,0.23182769967095423
34,19398,8673.0,35627,0.24343896483004462
35,19713,3205.0,12513,0.2561336210341245
36,20039,1708.0,9313,0.1833995490175024
37,20588,1202.0,4139,0.29040831118627686
38,21323,1931.0,9159,0.21083087673326784
39,22014,368.0,2210,0.1665158371040724
40,22677,501.0,2313,0.21660181582360571
41,22694,1199.0,6537,0.18341746978736423
42,23040,2410.0,12600,0.19126984126984126
43,23472,3514.0,12982,0.2706824834386073
44,23482,1701.0,9232,0.18425043327556326
45,23791,2417.0,9252,0.26124081279723305
46,23939,4179.0,14671,0.28484765864630907
47,24336,2951.0,13065,0.22587064676616916
48,24454,1178.0,5649,0.20853248362542043
49,25113,687.0,3793,0.18112312153967836
50,25828,445.0,2394,0.1858813700918964
51,26282,1054.0,6073,0.17355507986168286
52,26353,1851.0,7348,0.2519052803483941
53,26576,572.0,3270,0.1749235474006116
54,27149,1998.0,8224,0.24294747081712062
55,27249,1878.0,11583,0.16213416213416212
56,27751,874.0,4453,0.1962721760610824
57,28887,1025.0,5749,0.1782918768481475
58,31908,3601.0,19869,0.18123710302481252
59,32875,712.0,4506,0.158011540168664
60,33385,2128.0,9261,0.22978080120937264
61,34381,344.0,2238,0.15370866845397677
62,35787,4703.0,14559,0.3230304279140051
63,35911,948.0,5501,0.1723323032175968
64,37524,1408.0,7234,0.1946364390378767
65,39056,705.0,5632,0.12517755681818182
66,39523,511.0,3598,0.14202334630350194
67,40959,138.0,967,0.14270941054808686
68,43198,4470.0,28206,0.15847691980429696
69,44164,211.0,1698,0.12426383981154299
70,44689,6867.0,29452,0.23315903843542035
71,57123,857.0,5748,0.1490953375086987
72,59077,1348.0,6206,0.21720915243312924
73,60058,4305.0,22271,0.19330070495262897
74,65526,7379.0,26110,0.2826120260436614
75,71551,1803.0,15201,0.11861061772251826
76,88669,8535.0,34197,0.24958329678041932
